Content Manifest for Depot 2347770

Manifest ID / date     : 5002689339188222421 / 12/19/2024 22:39:40
Total number of files  : 2656
Total number of chunks : 49229
Total bytes on disk    : 47577462591
Total bytes compressed : 39022505328

          Size Chunks File SHA                                 Flags Name
         60114      1 7E8B003553F73253E86B3FC9FD35095BF7FE644B     0 game/core/tools/images/assettypes/vcompmat_lg.png
          3295      1 746B12204A9AD780871480D88AA2FC3BCF429463     0 game/core/tools/images/assettypes/vcompmat_sm.png
         12913      1 A3C0752C13DBBBE195A270FF6F8916BCF909CBC8     0 game/core/tools/images/assettypes/vdata_lg.png
          3656      1 24FE595A8980EB75D893D3FB38BECA585E3E5E40     0 game/core/tools/images/assettypes/vdata_sm.png
         13811      1 EC53E19B30F01D9C4DD6D061C12BF27CB775EB47     0 game/core/tools/images/assettypes/vmix_lg.png
          3410      1 BE321F87A4B1F601C9ACB254D27BD44EDDE06989     0 game/core/tools/images/assettypes/vmix_sm.png
          8507      1 7926F7301247FD25B3BBCFD712BD54056123C664     0 game/core/tools/images/assettypes/vodb_lg.png
          3108      1 72B9445601D1BCCB5CB0391F117B95773347AB78     0 game/core/tools/images/assettypes/vodb_sm.png
         10324      1 26C9240D86F01A27E6FC590144257A8FC22DFE8A     0 game/core/tools/images/assettypes/xml_lg.png
           651      1 06933873217F0F034B5FF6D9A7AE948BB3A3FD0E     0 game/core/tools/images/assettypes/xml_sm.png
           614      1 0AE30127E3A0F73EF2F40522D8BB8ACB1954C551     0 game/core/tools/images/common/add.png
          3014      1 759B11779F583F41E8A582A0CEC47B0CEAA00AAF     0 game/core/tools/images/common/add_editor_node.png
           555      1 7AFA5444DFF473A4988C59823FAD857B1E78694D     0 game/core/tools/images/common/add_med.png
          2986      1 479ABB292139640B4ACE8A8F5DAB3226174A850E     0 game/core/tools/images/common/add_node.png
           399      1 C29B792ABDFF9C8167FDE2FF4C57ECFFA0A8C38A     0 game/core/tools/images/common/add_sm.png
          3094      1 51721C757C28744931DA99BD39EA5F070FFED8B0     0 game/core/tools/images/common/add_sm_highlight.png
          3038      1 C32837E65751C4B4D43DEF735B4187BCE7011F37     0 game/core/tools/images/common/align.png
          2905      1 4A37BFF48FCD42F6379848743B1CF17C319BAA2E     0 game/core/tools/images/common/arrow_left.png
          2909      1 440EB0F435F4E3D086D544A3929FCC9DFC458ACB     0 game/core/tools/images/common/arrow_right.png
          2900      1 1161DF33BA2E0752F1C8A0C8E9DB2518D2E51D87     0 game/core/tools/images/common/arrow_right_disabled.png
          2908      1 AEA24876D0474DA13AB2E4FC68EB6FF4865851FD     0 game/core/tools/images/common/arrow_right_down.png
          2907      1 41140A08A4C45C8D98448952A8644691D53D78E2     0 game/core/tools/images/common/arrow_right_up.png
          2914      1 C6ABD07D7CA1C6C64C344C9C11C834160425DBD7     0 game/core/tools/images/common/arrow_up.png
          3287      1 2C978C98B62C2D6D6719D2FC56577F18BADF3E72     0 game/core/tools/images/common/auto_mute_game.png
           257      1 90352EF6A5EFF7E25F506FAE8386242772EC7BE5     0 game/core/tools/images/common/bind_command_list.png
           419      1 48716813630932338FCB58C03531EE06B01A60D4     0 game/core/tools/images/common/bind_command_target.png
          8378      1 EBA38B123494A851B51749F613E87C2BDC0F4353     0 game/core/tools/images/common/bindable_camera_fly_toggle.png
